Test0
QID543,number-series
QID2790,series
QID2791,series
QID3005,analogy
QID678,statement-and-assumption
QID679,statement-and-assumption
QID680,statement-and-assumption
QID1010,Statement and conclusion
QID1279,Essential part
QID1597,Statement and argument
QID1160,Logical deduction
QID1355,Logical problems
QID1439,course of action
QID2646,blood-relation-test
QID2695,data-sufficiency
QID1,Sentence Correction
QID2,Sentence Correction
QID3,Sentence Correction
QID99,Spotting Errors
QID100,Spotting Errors
QID101,Spotting Errors
QID102,Spotting Errors
QID103,Spotting Errors
QID1743,Sentance improvement
QID1744,Sentance improvement
QID319,Antonyms
QID320,Antonyms
QID391,Spellings
QID1967,One word substitution
QID1968,One word substitution
QID2085,Synonyms
QID2086,Synonyms
QID2450,Idioms and phrases
QID2451,Idioms and phrases
QID2452,Idioms and phrases
QID2453,Idioms and phrases
QID1841,Ordering-of-words
QID1889,Ordering-of-sentances
QID1890,Ordering-of-sentances
QID2066,Change of voice
QID2189,Selecting words
QID2190,Selecting words
QID2191,Selecting words
QID2192,Selecting words
QID2417,Completing statement
QID440,Problem on trains
QID3317,boats-and-streams
QID471,Calendar
QID3347,stocks-and-shares
QID3362,true-discount
QID514,HCF & LCM
QID3135,Numbers
QID3136,Numbers
QID3137,Numbers
QID3138,Numbers
QID3504,problems-on-numbers
QID3081,Profit and loss
QID3519,decimal-fraction
QID3120,Volume and surface area
QID3272,Simplification
QID3302,Chain rule
QID3564,ratio-and-proportion
QID3332,logarithm
QID3392,time-and-work
QID3456,clock
Test1
QID544,number-series
QID2792,series
QID617,analogies
QID3006,analogy
QID681,statement-and-assumption
QID682,statement-and-assumption
QID952,Verbal classification
QID1011,Statement and conclusion
QID1598,Statement and argument
QID1599,Statement and argument
QID1130,Cause and effect
QID1161,Logical deduction
QID1440,course of action
QID2696,data-sufficiency
QID2965,direction-sense-test
QID4,Sentence Correction
QID5,Sentence Correction
QID104,Spotting Errors
QID105,Spotting Errors
QID106,Spotting Errors
QID107,Spotting Errors
QID108,Spotting Errors
QID1745,Sentance improvement
QID1746,Sentance improvement
QID321,Antonyms
QID322,Antonyms
QID392,Spellings
QID1969,One word substitution
QID1970,One word substitution
QID2087,Synonyms
QID2088,Synonyms
QID2089,Synonyms
QID2454,Idioms and phrases
QID2455,Idioms and phrases
QID2456,Idioms and phrases
QID1842,Ordering-of-words
QID1891,Ordering-of-sentances
QID1892,Ordering-of-sentances
QID2193,Selecting words
QID2194,Selecting words
QID2195,Selecting words
QID2196,Selecting words
QID2197,Selecting words
QID2418,Completing statement
QID2597,Change of speech
QID441,Problem on trains
QID3377,time-and-distance
QID486,Simple Interest
QID3412,compound-interest
QID515,HCF & LCM
QID3139,Numbers
QID3140,Numbers
QID3141,Numbers
QID3142,Numbers
QID3549,square-root-and-cube-root
QID3105,Average
QID3520,decimal-fraction
QID3475,area
QID3287,surds-and-indices
QID3441,problems-on-ages
QID3579,pipes-and-cistern
QID3594,alligation-or-mixture
QID3490,permutation-and-combination
QID3609,races-and-games
QID3622,probability
Test2
QID2793,series
QID2794,series
QID2384,verbal-analogies
QID683,statement-and-assumption
QID684,statement-and-assumption
QID685,statement-and-assumption
QID1012,Statement and conclusion
QID1280,Essential part
QID1600,Statement and argument
QID1162,Logical deduction
QID1356,Logical problems
QID1441,course of action
QID2614,syllogism
QID2647,blood-relation-test
QID2697,data-sufficiency
QID6,Sentence Correction
QID7,Sentence Correction
QID109,Spotting Errors
QID110,Spotting Errors
QID111,Spotting Errors
QID112,Spotting Errors
QID113,Spotting Errors
QID1747,Sentance improvement
QID1748,Sentance improvement
QID1749,Sentance improvement
QID323,Antonyms
QID393,Spellings
QID1971,One word substitution
QID1972,One word substitution
QID1973,One word substitution
QID2090,Synonyms
QID2091,Synonyms
QID2457,Idioms and phrases
QID2458,Idioms and phrases
QID2459,Idioms and phrases
QID2460,Idioms and phrases
QID1843,Ordering-of-words
QID1893,Ordering-of-sentances
QID1894,Ordering-of-sentances
QID2067,Change of voice
QID2198,Selecting words
QID2199,Selecting words
QID2200,Selecting words
QID2201,Selecting words
QID2402,Sentance formation
QID442,Problem on trains
QID3318,boats-and-streams
QID472,Calendar
QID3348,stocks-and-shares
QID3637,bankers-discount
QID516,HCF & LCM
QID3143,Numbers
QID3144,Numbers
QID3145,Numbers
QID3146,Numbers
QID3505,problems-on-numbers
QID3082,Profit and loss
QID3521,decimal-fraction
QID3121,Volume and surface area
QID3273,Simplification
QID3303,Chain rule
QID3427,partnership
QID3333,logarithm
QID3393,time-and-work
QID3457,clock
Test3
QID545,number-series
QID2795,series
QID2796,series
QID3007,analogy
QID686,statement-and-assumption
QID687,statement-and-assumption
QID1013,Statement and conclusion
QID1411,analyzing agruments
QID1579,theme detection
QID1601,Statement and argument
QID1163,Logical deduction
QID1442,course of action
QID1443,course of action
QID1321,Artificial language
QID2698,data-sufficiency
QID8,Sentence Correction
QID9,Sentence Correction
QID114,Spotting Errors
QID115,Spotting Errors
QID116,Spotting Errors
QID117,Spotting Errors
QID118,Spotting Errors
QID1750,Sentance improvement
QID1751,Sentance improvement
QID324,Antonyms
QID325,Antonyms
QID394,Spellings
QID1974,One word substitution
QID1975,One word substitution
QID2092,Synonyms
QID2093,Synonyms
QID2094,Synonyms
QID2461,Idioms and phrases
QID2462,Idioms and phrases
QID2463,Idioms and phrases
QID1844,Ordering-of-words
QID1895,Ordering-of-sentances
QID1896,Ordering-of-sentances
QID2202,Selecting words
QID2203,Selecting words
QID2204,Selecting words
QID2205,Selecting words
QID2206,Selecting words
QID2419,Completing statement
QID2598,Change of speech
QID443,Problem on trains
QID3378,time-and-distance
QID3363,true-discount
QID3413,compound-interest
QID517,HCF & LCM
QID3147,Numbers
QID3148,Numbers
QID3149,Numbers
QID3150,Numbers
QID3550,square-root-and-cube-root
QID3096,Percentage
QID3106,Average
QID3476,area
QID3288,surds-and-indices
QID3565,ratio-and-proportion
QID3580,pipes-and-cistern
QID3595,alligation-or-mixture
QID3491,permutation-and-combination
QID3610,races-and-games
QID3623,probability
Test4
QID500,odd man out
QID2797,series
QID618,analogies
QID3008,analogy
QID688,statement-and-assumption
QID689,statement-and-assumption
QID953,Verbal classification
QID1014,Statement and conclusion
QID1602,Statement and argument
QID1603,Statement and argument
QID1164,Logical deduction
QID1357,Logical problems
QID1444,course of action
QID2648,blood-relation-test
QID2966,direction-sense-test
QID10,Sentence Correction
QID11,Sentence Correction
QID12,Sentence Correction
QID119,Spotting Errors
QID120,Spotting Errors
QID121,Spotting Errors
QID122,Spotting Errors
QID123,Spotting Errors
QID1752,Sentance improvement
QID1753,Sentance improvement
QID326,Antonyms
QID395,Spellings
QID396,Spellings
QID1976,One word substitution
QID1977,One word substitution
QID2095,Synonyms
QID2096,Synonyms
QID2464,Idioms and phrases
QID2465,Idioms and phrases
QID2466,Idioms and phrases
QID2467,Idioms and phrases
QID1845,Ordering-of-words
QID1897,Ordering-of-sentances
QID1898,Ordering-of-sentances
QID2068,Change of voice
QID2207,Selecting words
QID2208,Selecting words
QID2209,Selecting words
QID2210,Selecting words
QID2420,Completing statement
QID3319,boats-and-streams
QID473,Calendar
QID487,Simple Interest
QID3349,stocks-and-shares
QID3151,Numbers
QID3152,Numbers
QID3153,Numbers
QID3154,Numbers
QID3506,problems-on-numbers
QID3075,height-and-distance
QID3083,Profit and loss
QID3522,decimal-fraction
QID3523,decimal-fraction
QID3122,Volume and surface area
QID3274,Simplification
QID3442,problems-on-ages
QID3304,Chain rule
QID3428,partnership
QID3394,time-and-work
QID3458,clock
Test5
QID546,number-series
QID2798,series
QID2799,series
QID2385,verbal-analogies
QID690,statement-and-assumption
QID691,statement-and-assumption
QID692,statement-and-assumption
QID1015,Statement and conclusion
QID1281,Essential part
QID1604,Statement and argument
QID1131,Cause and effect
QID1165,Logical deduction
QID1445,course of action
QID2615,syllogism
QID2699,data-sufficiency
